Invoice Date,Year,Quarter,Month,Invoice Type,Invoice Number,Invoice  Line,Product Code,Market,Customer Number,Area,Agent,Unit Price Customer ILS,Unit Price  USD,QTY Supply ,QTY Order,% Supply
23/03/2021,2021,2021-Q1,Mar-2021,Sold,472937,1,SKU148, Private market,CUST12349, Galil,Eli,219.69625,66.79727875,1,1,1
26/04/2021,2021,2021-Q2,Apr-2021,Sold,473086,16,SKU159, Private market,CUST12349, Galil,Eli,1.7875,0.549155125,2,2,1
03/06/2021,2021,2021-Q2,Jun-2021,Sold,473275,54,SKU174, Private market,CUST12349, Galil,Eli,0.915,0.282581875,1,1,1
19/04/2020,2020,2020-Q2,Apr-2020,Sold,463270,10,SKU128, Private market,CUST12350, Galil,Dvir,3.4875,0.971178,3,3,1
01/07/2020,2020,2020-Q3,Jul-2020,Sold,463393,14,SKU153, Private market,CUST12350, Galil,Dvir,69.1,19.93652625,20,20,1
14/07/2020,2020,2020-Q3,Jul-2020,Sold,463416,3,SKU139, Private market,CUST12350, Galil,Dvir,80,23.242301,10,10,1
26/07/2020,2020,2020-Q3,Jul-2020,Sold,463434,1,SKU359, Private market,CUST12350, Galil,Dvir,11.61,3.394736875,1,1,1
03/08/2020,2020,2020-Q3,Aug-2020,Sold,463448,22,SKU174, Private market,CUST12350, Galil,Dvir,2.745,0.80545775,3,3,1
05/08/2020,2020,2020-Q3,Aug-2020,Sold,463452,3,SKU139, Private market,CUST12350, Galil,Dvir,80,23.364486,9,10,0.9
24/11/2020,2020,2020-Q4,Nov-2020,Sold,405973,31,SKU515, Private market,CUST12350, Galil,Dvir,26.625,7.9620215,10,10,1
25/11/2020,2020,2020-Q4,Nov-2020,Sold,405982,2,SKU237, Private market,CUST12350, Galil,Dvir,0,0,1,1,1
18/12/2020,2020,2020-Q4,Dec-2020,Sold,406139,20,SKU153, Private market,CUST12350, Galil,Dvir,34.55,10.62096525,10,10,1
18/02/2021,2021,2021-Q1,Feb-2021,Sold,406537,9,SKU296, Private market,CUST12350, Galil,Dvir,39.91,12.32931725,2,2,1
19/04/2021,2021,2021-Q2,Apr-2021,Sold,406903,2,SKU479, Private market,CUST12350, Galil,Dvir,0,0,12,12,1
01/06/2021,2021,2021-Q2,Jun-2021,Sold,88505,1,SKU377, Private market,CUST12350, Galil,Dvir,156.25,48.03258525,5,5,1
19/04/2020,2020,2020-Q2,Apr-2020,Sold,463270,4,SKU129, Private market,CUST12351, Galil,Yael,2.0625,0.5743525,2,2,1
01/06/2020,2020,2020-Q2,Jun-2020,Sold,463336,1,SKU163, Private market,CUST12351, Galil,Yael,314,89.66304963,200,200,1
03/06/2020,2020,2020-Q2,Jun-2020,Sold,463342,1,SKU213, Private market,CUST12351, Galil,Yael,6.28875,1.805037375,1,1,1
19/08/2020,2020,2020-Q3,Aug-2020,Sold,463479,2,SKU154, Private market,CUST12351, Galil,Yael,77.86,22.89326663,6,8,0.75
16/09/2020,2020,2020-Q3,Sep-2020,Sold,463528,2,SKU157, Private market,CUST12351, Galil,Yael,0,0,4,4,1
24/09/2020,2020,2020-Q3,Sep-2020,Sold,463540,1,SKU231, Private market,CUST12351, Galil,Yael,92.4,26.85265913,40,40,1
07/02/2021,2021,2021-Q1,Feb-2021,Sold,463750,4,SKU261, Private market,CUST12351, Galil,Yael,0,0,3,5,0.6
11/02/2021,2021,2021-Q1,Feb-2021,Sold,463757,1,SKU291, Private market,CUST12351, Galil,Yael,1.28375,0.39463575,1,1,1
20/03/2021,2021,2021-Q1,Mar-2021,Sold,463811,3,SKU196, Private market,CUST12351, Galil,Yael,6.9,2.092811625,3,3,1
22/03/2021,2021,2021-Q1,Mar-2021,Sold,463815,2,SKU151, Private market,CUST12351, Galil,Yael,2.59375,0.7886135,1,1,1
05/04/2021,2021,2021-Q2,Apr-2021,Sold,463832,3,SKU427, Private market,CUST12351, Galil,Yael,18.5625,5.569306875,10,10,1
27/04/2021,2021,2021-Q2,Apr-2021,Sold,137819,1,SKU542, Private market,CUST12351, Galil,Yael,45.84375,14.1493055,1,1,1
20/04/2020,2020,2020-Q2,Apr-2020,Return,159449,1,SKU130, Private market,CUST12352, Galil,Tikva ,-7.78375,-2.16757175,-1,-1,1
01/05/2020,2020,2020-Q2,May-2020,Sold,404635,15,SKU210, Private market,CUST12352, Galil,Tikva ,2.76625,0.790583,1,1,1
30/06/2020,2020,2020-Q2,Jun-2020,Sold,405019,4,SKU365, Private market,CUST12352, Galil,Tikva ,15.52,4.515565875,1,1,1
02/07/2020,2020,2020-Q3,Jul-2020,Sold,405035,7,SKU193, Private market,CUST12352, Galil,Tikva ,0,0,12,12,1
15/09/2020,2020,2020-Q3,Sep-2020,Sold,405522,3,SKU123, Private market,CUST12352, Galil,Tikva ,23.25,6.76265275,20,20,1
17/09/2020,2020,2020-Q3,Sep-2020,Sold,405542,1,SKU204, Private market,CUST12352, Galil,Tikva ,2.09125,0.61309,1,1,1
23/09/2020,2020,2020-Q3,Sep-2020,Sold,405572,8,SKU272, Private market,CUST12352, Galil,Tikva ,2.30375,0.669500125,1,1,1
01/10/2020,2020,2020-Q4,Oct-2020,Sold,405618,2,SKU238, Private market,CUST12352, Galil,Tikva ,2.4575,0.7104655,2,2,1
05/10/2020,2020,2020-Q4,Oct-2020,Sold,405640,23,SKU231, Private market,CUST12352, Galil,Tikva ,0,0,12,12,1
25/01/2021,2021,2021-Q1,Jan-2021,Sold,406371,12,SKU174, Private market,CUST12352, Galil,Tikva ,1.83,0.557926875,1,2,0.5
10/02/2021,2021,2021-Q1,Feb-2021,Sold,406484,5,SKU294, Private market,CUST12352, Galil,Tikva ,50,15.234613,1,1,1
02/03/2021,2021,2021-Q1,Mar-2021,Sold,406609,4,SKU174, Private market,CUST12352, Galil,Tikva ,2.745,0.83689025,3,3,1
05/04/2021,2021,2021-Q2,Apr-2021,Sold,406822,1,SKU168, Private market,CUST12352, Galil,Tikva ,21.7,6.510651125,2,2,1
26/04/2021,2021,2021-Q2,Apr-2021,Sold,406963,7,SKU210, Private market,CUST12352, Galil,Tikva ,2.76625,0.849846375,1,1,1
28/04/2021,2021,2021-Q2,Apr-2021,Sold,406986,5,SKU151, Private market,CUST12352, Galil,Tikva ,2.59375,0.800293125,1,1,1
05/05/2021,2021,2021-Q2,May-2021,Sold,407037,10,SKU174, Private market,CUST12352, Galil,Tikva ,1.83,0.562730625,2,2,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,470527,24,SKU131,Maccabi,CUST12353, Galil,Avi,105,29.23976613,5,6,0.833333333
28/04/2020,2020,2020-Q2,Apr-2020,Sold,470564,2,SKU244,Maccabi,CUST12353, Galil,Avi,27.02,7.667423375,13,14,0.928571429
22/06/2020,2020,2020-Q2,Jun-2020,Sold,470818,7,SKU249,Maccabi,CUST12353, Galil,Avi,10.3125,2.991732,10,10,1
26/06/2020,2020,2020-Q2,Jun-2020,Sold,470843,10,SKU159,Maccabi,CUST12353, Galil,Avi,23.0625,6.733576625,30,30,1
29/07/2020,2020,2020-Q3,Jul-2020,Sold,470998,9,SKU338,Maccabi,CUST12353, Galil,Avi,183.985,53.90711988,4,4,1
22/09/2020,2020,2020-Q3,Sep-2020,Sold,471248,17,SKU189,Maccabi,CUST12353, Galil,Avi,16,4.64846025,4,4,1
30/09/2020,2020,2020-Q3,Sep-2020,Sold,471277,7,SKU178,Maccabi,CUST12353, Galil,Avi,23.25,6.721595875,2,2,1
20/10/2020,2020,2020-Q4,Oct-2020,Sold,471383,6,SKU163,Maccabi,CUST12353, Galil,Avi,42.5,12.58140913,50,50,1
21/10/2020,2020,2020-Q4,Oct-2020,Sold,471386,1,SKU470,Maccabi,CUST12353, Galil,Avi,5.2125,1.543072875,6,6,1
26/10/2020,2020,2020-Q4,Oct-2020,Sold,471405,5,SKU359,Maccabi,CUST12353, Galil,Avi,14.625,4.329484875,3,3,1
03/11/2020,2020,2020-Q4,Nov-2020,Sold,471444,4,SKU410,Maccabi,CUST12353, Galil,Avi,48.61125,14.2974265,3,3,1
03/02/2021,2021,2021-Q1,Feb-2021,Sold,472713,33,SKU398,Maccabi,CUST12353, Galil,Avi,15.105,4.57727275,6,12,0.5
13/03/2021,2021,2021-Q1,Mar-2021,Sold,472891,3,SKU129,Maccabi,CUST12353, Galil,Avi,5.5125,1.66843225,6,6,1
08/04/2021,2021,2021-Q2,Apr-2021,Sold,473006,22,SKU180,Maccabi,CUST12353, Galil,Avi,50.625,15.299184,30,30,1
19/04/2021,2021,2021-Q2,Apr-2021,Sold,473046,3,SKU328,Maccabi,CUST12353, Galil,Avi,9.5,2.89545875,10,10,1
07/05/2021,2021,2021-Q2,May-2021,Sold,473155,8,SKU365,Maccabi,CUST12353, Galil,Avi,54.735,16.78472863,6,6,1
06/06/2021,2021,2021-Q2,Jun-2021,Sold,473286,9,SKU179,Maccabi,CUST12353, Galil,Avi,17.55,5.403325125,36,36,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,470528,5,SKU132,Maccabi,CUST12354, Galil,Tikva ,11.75,3.272069,2,2,1
23/04/2020,2020,2020-Q2,Apr-2020,Sold,470545,17,SKU196,Maccabi,CUST12354, Galil,Tikva ,22.5,6.3344595,18,20,0.9
22/05/2020,2020,2020-Q2,May-2020,Sold,470681,2,SKU364,Maccabi,CUST12354, Galil,Tikva ,8.11125,2.3148545,1,1,1
01/06/2020,2020,2020-Q2,Jun-2020,Sold,159927,3,SKU381,Maccabi,CUST12354, Galil,Tikva ,187.52375,53.54761563,1,1,1
09/09/2020,2020,2020-Q3,Sep-2020,Sold,471191,10,SKU196,Maccabi,CUST12354, Galil,Tikva ,33.75,9.991119,30,30,1
10/09/2020,2020,2020-Q3,Sep-2020,Sold,471196,16,SKU215,Maccabi,CUST12354, Galil,Tikva ,88.75,26.16450475,100,100,1
15/10/2020,2020,2020-Q4,Oct-2020,Sold,471355,3,SKU420,Maccabi,CUST12354, Galil,Tikva ,18.75,5.537507375,20,20,1
08/11/2020,2020,2020-Q4,Nov-2020,Sold,471468,12,SKU141,Maccabi,CUST12354, Galil,Tikva ,41.3175,12.22049688,3,3,1
14/11/2020,2020,2020-Q4,Nov-2020,Sold,471504,12,SKU128,Maccabi,CUST12354, Galil,Tikva ,15,4.44181225,20,20,1
14/12/2020,2020,2020-Q4,Dec-2020,Sold,472464,19,SKU380,Maccabi,CUST12354, Galil,Tikva ,387.515,119.0888138,1,1,1
07/01/2021,2021,2021-Q1,Jan-2021,Sold,472571,5,SKU207,Maccabi,CUST12354, Galil,Tikva ,3.09375,0.965891375,2,3,0.666666667
07/02/2021,2021,2021-Q1,Feb-2021,Sold,472726,11,SKU215,Maccabi,CUST12354, Galil,Tikva ,53.25,16.14614913,30,60,0.5
15/02/2021,2021,2021-Q1,Feb-2021,Sold,472770,16,SKU174,Maccabi,CUST12354, Galil,Tikva ,24.5625,7.5600185,30,30,1
07/05/2021,2021,2021-Q2,May-2021,Sold,473159,2,SKU359,Maccabi,CUST12354, Galil,Tikva ,48.75,14.949402,10,10,1
11/05/2021,2021,2021-Q2,May-2021,Sold,473168,29,SKU539,Maccabi,CUST12354, Galil,Tikva ,18.625,5.7290065,10,10,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,470527,6,SKU133,Maccabi,CUST12355, Galil,Avi,4.975,1.385408,2,2,1
04/05/2020,2020,2020-Q2,May-2020,Sold,470580,7,SKU136,Maccabi,CUST12355, Galil,Avi,85.125,24.38413063,1,1,1
01/09/2020,2020,2020-Q3,Sep-2020,Sold,471153,54,SKU191,Maccabi,CUST12355, Galil,Avi,22.8,6.76959625,10,10,1
20/10/2020,2020,2020-Q4,Oct-2020,Sold,471383,5,SKU345,Maccabi,CUST12355, Galil,Avi,250.0375,74.01939013,10,10,1
08/12/2020,2020,2020-Q4,Dec-2020,Sold,472432,25,SKU329,Maccabi,CUST12355, Galil,Avi,5.75,1.756798,10,10,1
15/02/2021,2021,2021-Q1,Feb-2021,Sold,472770,10,SKU153,Maccabi,CUST12355, Galil,Avi,24.5,7.54078175,20,20,1
16/02/2021,2021,2021-Q1,Feb-2021,Sold,472773,7,SKU215,Maccabi,CUST12355, Galil,Avi,71,21.85287775,80,80,1
07/04/2021,2021,2021-Q2,Apr-2021,Sold,473001,16,SKU215,Maccabi,CUST12355, Galil,Avi,88.75,26.82079175,100,100,1
30/05/2021,2021,2021-Q2,May-2021,Sold,473251,14,SKU188,Maccabi,CUST12355, Galil,Avi,134.4,41.37931038,48,48,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,470528,29,SKU134,Maccabi,CUST12356, Galil,Aviv,337.5,93.98496238,9,10,0.9
07/05/2020,2020,2020-Q2,May-2020,Sold,470606,10,SKU123,Maccabi,CUST12356, Galil,Aviv,99.625,28.27043138,100,100,1
01/09/2020,2020,2020-Q3,Sep-2020,Sold,471154,12,SKU150,Maccabi,CUST12356, Galil,Aviv,61.35,18.21555825,60,60,1
16/09/2020,2020,2020-Q3,Sep-2020,Sold,471227,26,SKU126,Maccabi,CUST12356, Galil,Aviv,7.89,2.30566925,4,4,1
30/09/2020,2020,2020-Q3,Sep-2020,Sold,471278,22,SKU338,Maccabi,CUST12356, Galil,Aviv,229.98125,66.4877855,5,5,1
06/12/2020,2020,2020-Q4,Dec-2020,Sold,138610,1,SKU377,Maccabi,CUST12356, Galil,Aviv,102.75,31.46050213,6,6,1
16/12/2020,2020,2020-Q4,Dec-2020,Sold,472479,3,SKU160,Maccabi,CUST12356, Galil,Aviv,12.1125,3.721198125,30,30,1
12/01/2021,2021,2021-Q1,Jan-2021,Sold,472594,4,SKU152,Maccabi,CUST12356, Galil,Aviv,21.25,6.67609175,2,4,0.5
24/05/2021,2021,2021-Q2,May-2021,Sold,473227,1,SKU346,Maccabi,CUST12356, Galil,Aviv,9.625,2.95698925,10,10,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,404567,19,SKU133, Meuhedet,CUST12357, Galil,Aviv,23.625,6.578947375,9,10,0.9
04/05/2020,2020,2020-Q2,May-2020,Sold,404648,2,SKU272, Meuhedet,CUST12357, Galil,Aviv,1.75,0.501289,1,1,1
18/08/2020,2020,2020-Q3,Aug-2020,Sold,405342,43,SKU153, Meuhedet,CUST12357, Galil,Aviv,1.3625,0.400264375,1,1,1
19/08/2020,2020,2020-Q3,Aug-2020,Sold,405353,6,SKU153, Meuhedet,CUST12357, Galil,Aviv,2.725,0.801234875,2,2,1
22/09/2020,2020,2020-Q3,Sep-2020,Sold,405563,8,SKU153, Meuhedet,CUST12357, Galil,Aviv,2.725,0.791690875,2,2,1
28/10/2020,2020,2020-Q4,Oct-2020,Sold,405799,18,SKU155, Meuhedet,CUST12357, Galil,Aviv,1.1,0.3253475,1,1,1
19/11/2020,2020,2020-Q4,Nov-2020,Sold,405946,7,SKU131, Meuhedet,CUST12357, Galil,Aviv,13,3.873659125,1,1,1
25/11/2020,2020,2020-Q4,Nov-2020,Sold,405985,48,SKU269, Meuhedet,CUST12357, Galil,Aviv,6.5,1.94552525,2,2,1
30/11/2020,2020,2020-Q4,Nov-2020,Sold,88265,3,SKU461, Meuhedet,CUST12357, Galil,Aviv,66.37875,19.99962338,3,3,1
21/12/2020,2020,2020-Q4,Dec-2020,Sold,406154,15,SKU165, Meuhedet,CUST12357, Galil,Aviv,13.25,4.088244375,10,10,1
26/12/2020,2020,2020-Q4,Dec-2020,Sold,406186,14,SKU177, Meuhedet,CUST12357, Galil,Aviv,3.125,0.9711,1,1,1
29/12/2020,2020,2020-Q4,Dec-2020,Sold,406205,24,SKU145, Meuhedet,CUST12357, Galil,Aviv,22.5,6.996268625,2,4,0.5
22/02/2021,2021,2021-Q1,Feb-2021,Sold,406558,10,SKU179, Meuhedet,CUST12357, Galil,Aviv,4.75,1.45215525,10,10,1
28/02/2021,2021,2021-Q1,Feb-2021,Sold,406595,5,SKU223, Meuhedet,CUST12357, Galil,Aviv,5.1625,1.573932875,7,7,1
31/03/2021,2021,2021-Q1,Mar-2021,Sold,406800,4,SKU192, Meuhedet,CUST12357, Galil,Aviv,1.125,0.33662475,2,2,1
05/05/2021,2021,2021-Q2,May-2021,Sold,407033,2,SKU154, Meuhedet,CUST12357, Galil,Aviv,6,1.8450185,3,3,1
15/05/2021,2021,2021-Q2,May-2021,Sold,407099,6,SKU544, Meuhedet,CUST12357, Galil,Aviv,12.13875,3.682873125,13,13,1
19/05/2021,2021,2021-Q2,May-2021,Sold,407116,1,SKU155, Meuhedet,CUST12357, Galil,Aviv,3.3,1.008249375,3,3,1
21/05/2021,2021,2021-Q2,May-2021,Sold,88489,1,SKU511, Meuhedet,CUST12357, Galil,Aviv,66.25,20.29718138,1,1,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,404559,1,SKU135, Meuhedet,CUST12358, Galil,Dvir,2.375,0.661375625,9,10,0.9
04/11/2020,2020,2020-Q4,Nov-2020,Sold,405839,1,SKU152, Meuhedet,CUST12358, Galil,Dvir,8.375,2.46323525,2,2,1
27/02/2021,2021,2021-Q1,Feb-2021,Sold,406591,7,SKU139, Meuhedet,CUST12358, Galil,Dvir,5.125,1.5625,2,2,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,404565,1,SKU136, Meuhedet,CUST12359, Galil,Dvir,170.25,47.41019213,2,2,1
11/05/2020,2020,2020-Q2,May-2020,Sold,404699,5,SKU203, Meuhedet,CUST12359, Galil,Dvir,25.5,7.25255975,6,6,1
22/06/2020,2020,2020-Q2,Jun-2020,Sold,404964,4,SKU215, Meuhedet,CUST12359, Galil,Dvir,51.375,14.90426463,60,60,1
20/07/2020,2020,2020-Q3,Jul-2020,Sold,405155,15,SKU394, Meuhedet,CUST12359, Galil,Dvir,4.0075,1.162605125,2,2,1
28/07/2020,2020,2020-Q3,Jul-2020,Sold,405207,1,SKU240, Meuhedet,CUST12359, Galil,Dvir,11.25,3.289473625,10,10,1
31/07/2020,2020,2020-Q3,Jul-2020,Sold,405231,2,SKU335, Meuhedet,CUST12359, Galil,Dvir,5.625,1.650044,13,15,0.866666667
14/10/2020,2020,2020-Q4,Oct-2020,Sold,405707,3,SKU238, Meuhedet,CUST12359, Galil,Dvir,5.25,1.551877,10,10,1
20/10/2020,2020,2020-Q4,Oct-2020,Sold,405743,18,SKU161, Meuhedet,CUST12359, Galil,Dvir,38.25,11.30653263,60,60,1
20/11/2020,2020,2020-Q4,Nov-2020,Sold,405955,3,SKU493, Meuhedet,CUST12359, Galil,Dvir,8.75,2.61819275,10,10,1
14/01/2021,2021,2021-Q1,Jan-2021,Sold,406305,17,SKU134, Meuhedet,CUST12359, Galil,Dvir,146.2425,46.29392213,2,3,0.666666667
15/02/2021,2021,2021-Q1,Feb-2021,Sold,406516,12,SKU159, Meuhedet,CUST12359, Galil,Dvir,35.625,10.96491225,50,50,1
19/02/2021,2021,2021-Q1,Feb-2021,Sold,406549,20,SKU370, Meuhedet,CUST12359, Galil,Dvir,5.25,1.61191275,4,4,1
22/04/2021,2021,2021-Q2,Apr-2021,Sold,406941,41,SKU407, Meuhedet,CUST12359, Galil,Dvir,71.25,21.90959413,6,6,1
26/04/2021,2021,2021-Q2,Apr-2021,Sold,406962,22,SKU278, Meuhedet,CUST12359, Galil,Dvir,26.25,8.064516125,20,20,1
24/05/2021,2021,2021-Q2,May-2021,Sold,407149,5,SKU156, Meuhedet,CUST12359, Galil,Dvir,31.25,9.6006145,10,10,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,404565,9,SKU137, Meuhedet,CUST12360, Galil,Dalia ,5.3125,1.479392875,9,10,0.9
11/05/2020,2020,2020-Q2,May-2020,Sold,404696,8,SKU267, Meuhedet,CUST12360, Galil,Dalia ,8.25,2.346416375,3,3,1
19/08/2020,2020,2020-Q3,Aug-2020,Sold,405351,14,SKU174, Meuhedet,CUST12360, Galil,Dalia ,7.75,2.2787415,8,10,0.8
31/08/2020,2020,2020-Q3,Aug-2020,Sold,405424,1,SKU501, Meuhedet,CUST12360, Galil,Dalia ,662.5125,196.7079869,1,1,1
17/10/2020,2020,2020-Q4,Oct-2020,Sold,405722,8,SKU162, Meuhedet,CUST12360, Galil,Dalia ,7.1875,2.11770775,5,5,1
03/11/2020,2020,2020-Q4,Nov-2020,Sold,405834,59,SKU179, Meuhedet,CUST12360, Galil,Dalia ,14.25,4.1911765,30,30,1
27/11/2020,2020,2020-Q4,Nov-2020,Sold,406003,14,SKU277, Meuhedet,CUST12360, Galil,Dalia ,13.75,4.14156625,10,10,1
18/12/2020,2020,2020-Q4,Dec-2020,Sold,406141,12,SKU264, Meuhedet,CUST12360, Galil,Dalia ,5.0775,1.564715,2,2,1
11/01/2021,2021,2021-Q1,Jan-2021,Sold,406272,7,SKU285, Meuhedet,CUST12360, Galil,Dalia ,7.5,2.353310375,3,5,0.6
19/01/2021,2021,2021-Q1,Jan-2021,Sold,406334,1,SKU521, Meuhedet,CUST12360, Galil,Dalia ,74.97,23.23210413,1,1,1
21/04/2021,2021,2021-Q2,Apr-2021,Sold,406934,15,SKU181, Meuhedet,CUST12360, Galil,Dalia ,35.75,10.99323488,20,20,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,585016,4,SKU138,Clalit,CUST12361, Galil,Shira,259.77,72.33918125,38,42,0.904761905
22/04/2020,2020,2020-Q2,Apr-2020,Sold,585016,8,SKU190,Clalit,CUST12361, Galil,Shira,33.525,9.364525125,54,60,0.9
14/05/2020,2020,2020-Q2,May-2020,Sold,470646,6,SKU304,Clalit,CUST12361, Galil,Shira,97.53125,27.77876675,25,25,1
21/05/2020,2020,2020-Q2,May-2020,Sold,470676,3,SKU220,Clalit,CUST12361, Galil,Shira,195.75,55.864726,30,30,1
31/08/2020,2020,2020-Q3,Aug-2020,Sold,471152,1,SKU411,Clalit,CUST12361, Galil,Shira,2.0625,0.61238125,1,1,1
08/11/2020,2020,2020-Q4,Nov-2020,Sold,471470,4,SKU173,Clalit,CUST12361, Galil,Shira,77.6475,22.99304113,14,14,1
02/12/2020,2020,2020-Q4,Dec-2020,Sold,472405,2,SKU250,Clalit,CUST12361, Galil,Shira,43.3625,13.12424338,5,5,1
23/05/2021,2021,2021-Q2,May-2021,Sold,473222,5,SKU250,Clalit,CUST12361, Galil,Shira,128.5125,39.37270225,15,15,1
20/04/2020,2020,2020-Q2,Apr-2020,Sold,463271,2,SKU139,Institutional Market,CUST12362, Galil,Elad,7.25,2.01893625,1,1,1
12/06/2020,2020,2020-Q2,Jun-2020,Sold,463358,7,SKU206,Institutional Market,CUST12362, Galil,Elad,37.5,10.87902525,30,30,1
18/06/2020,2020,2020-Q2,Jun-2020,Sold,463369,13,SKU153,Institutional Market,CUST12362, Galil,Elad,49.89375,14.37031975,15,15,1
20/08/2020,2020,2020-Q3,Aug-2020,Sold,463480,5,SKU167,Institutional Market,CUST12362, Galil,Elad,67.5,19.85294113,45,60,0.75
24/08/2020,2020,2020-Q3,Aug-2020,Sold,463485,1,SKU495,Institutional Market,CUST12362, Galil,Elad,36.925,10.84753238,14,14,1
23/09/2020,2020,2020-Q3,Sep-2020,Sold,463539,2,SKU202,Institutional Market,CUST12362, Galil,Elad,420.3,122.1447254,180,180,1
05/10/2020,2020,2020-Q4,Oct-2020,Sold,463555,5,SKU335,Institutional Market,CUST12362, Galil,Elad,21.25,6.193529625,20,20,1
16/12/2020,2020,2020-Q4,Dec-2020,Sold,463676,38,SKU350,Institutional Market,CUST12362, Galil,Elad,18.54375,5.697004625,15,15,1
15/01/2021,2021,2021-Q1,Jan-2021,Sold,463717,24,SKU247,Institutional Market,CUST12362, Galil,Elad,20.175,6.474647,5,10,0.5
